//联锁表-呼和浩特南站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
0    |LCJL|XLA,D61A,SIXLA    |X     |1-3,5-7,(9),99-101,95-97,31,23-25,(61)                     |IAG,3-5DG,9DG,19DG,95-101DG,31DG,25DG,25/61WG,61DG,IXG                     |D1,D5,D61,D63,D81,D91,D99,SIX;
1    |LCJL|XLA,D61A,SVIILA    |X     |1-3,(9),5-7,99-101,95-97,31,23-25,61                     |IAG,3-5DG,9DG,19DG,95-101DG,31DG,25DG,25/61WG,61DG,VIIG                     |D1,D5,D61,D63,D81,D91,D99,SVII;
2    |LCJL|XLA,S21LA    |X     |1-3,5-7,(9),99-101,(95-97),99-101,113-115,(103-107<105>),113-115,(109<111>),117                     |IAG,3-5DG,9DG,95-101DG,97-99DG,103-115DG,117DG,19DG,21G                     |D1,D5,D61,D63,D77,D79,D85,S21;
3    |LCJL|XLA,S19LA    |X     |1-3,5-7,(9),99-101,(95-97),99-101,113-115,(103-107<105>),113-115,(109<111>),(117)                     |IAG,3-5DG,9DG,95-101DG,97-99DG,103-115DG,117DG,19DG,19G                     |D1,D5,D61,D63,D77,D79,D85,S19;
4    |LCJL|XLA,S17LA    |X     |1-3,5-7,(9),99-101,(95-97),99-101,113-115,(103-107<105>),113-115,109<111>                     |IAG,3-5DG,9DG,95-101DG,97-99DG,103-115DG,19DG,117DG,17G                     |D1,D5,D61,D63,D77,D79,S17;
5    |LCJL|XLA,S15LA    |X     |1-3,5-7,(9),99-101,(95-97),99-101,113-115,103-107<105>,33                     |IAG,3-5DG,9DG,95-101DG,97-99DG,103-115DG,33DG,19DG,15G                     |D1,D5,D61,D63,D77,D79,D83,S15;
6    |LCJL|XLA,S13LA    |X     |1-3,5-7,(9),99-101,(95-97),99-101,113-115,103-107<105>,(33)                     |IAG,3-5DG,9DG,95-101DG,97-99DG,103-115DG,33DG,19DG,13G                     |D1,D5,D61,D63,D77,D79,D83,S13;
7    |LCJL|XLA,S11LA    |X     |1-3,5-7,(9),99-101,95-97,(31)                     |IAG,3-5DG,9DG,95-101DG,31DG,19DG,25DG,11G                     |D1,D5,D61,D63,D81,S11;
8    |LCJL|XLA,SIXLA    |X     |1-3,5-7,9,(19),(21),(23-25),(61)                     |IAG,3-5DG,9DG,19DG,21-23DG,25DG,25/61WG,61DG,31DG,IXG                     |D1,D5,D15,D91,D99,SIX;
9    |LCJL|XLA,SVIILA    |X     |1-3,5-7,9,(19),(21),(23-25),61                     |IAG,3-5DG,9DG,19DG,21-23DG,25DG,25/61WG,61DG,31DG,VIIG                     |D1,D5,D15,D91,D99,SVII;
10    |LCJL|XLA,S5LA    |X     |1-3,5-7,9,(19),(21),23-25                     |IAG,3-5DG,9DG,19DG,21-23DG,5G                     |D1,D5,D15,S5;
11    |LCJL|XLA,S3LA    |X     |1-3,5-7,9,(19),21                     |IAG,3-5DG,9DG,19DG,21-23DG,3G                     |D1,D5,D15,S3;
12    |LCJL|XLA,SILA    |X     |1-3,5-7,9,19                     |IAG,3-5DG,9DG,19DG,19DG,IG                     |D1,D5,SI;
13    |LCJL|XLA,SIILA    |X     |1-3,(5-7),1-3,13,49-51                     |IAG,3-5DG,1-7DG,13DG,13/49WG,49DG,IIG                     |D1,D7,D11,D23,SII;
14    |LCJL|XLA,SIVLA    |X     |1-3,(5-7),1-3,13,(49-51)                     |IAG,3-5DG,1-7DG,13DG,13/49WG,49DG,51DG,71DG,IVG                     |D1,D7,D11,D23,SIV;
15    |LCJL|XLA,S6LA    |X     |1-3,(5-7),1-3,(13),15-17,71-73,57-59                     |IAG,3-5DG,1-7DG,13DG,13/15WG,15DG,73DG,59/73WG,59DG,6G                     |D1,D7,D9,D21,D33,D39,S6;
16    |LCJL|XLA,S8LA    |X     |1-3,(5-7),1-3,(13),(15-17),53-55,57-59                     |IAG,3-5DG,1-7DG,13DG,13/15WG,15DG,17-123DG,17/53WG,53-57DG,73DG,8G                     |D1,D7,D9,D21,D31,D35,S8;
17    |LCJL|XLA,SXLA    |X     |1-3,(5-7),1-3,(13),(15-17),(53-55),81-85<83>                     |IAG,3-5DG,1-7DG,13DG,13/15WG,15DG,17-123DG,17/53WG,53-57DG,55-81DG,73DG,XG                     |D1,D7,D9,D21,D31,D35,SX;
18    |LCJL|XLA,S12LA    |X     |1-3,(5-7),1-3,(13),(15-17),(53-55),(81-85<83>),87<89>,69                     |IAG,3-5DG,1-7DG,13DG,13/15WG,15DG,17-123DG,17/53WG,53-57DG,55-81DG,69-89DG,73DG,91DG,12G                     |D1,D7,D9,D21,D31,D35,S12;
19    |LCJL|XLA,S14LA    |X     |1-3,(5-7),1-3,(13),(15-17),(53-55),(81-85<83>),87<89>,(69)                     |IAG,3-5DG,1-7DG,13DG,13/15WG,15DG,17-123DG,17/53WG,53-57DG,55-81DG,69-89DG,73DG,91DG,14G                     |D1,D7,D9,D21,D31,D35,S14;
20    |LCJL|XLA,S16LA    |X     |1-3,(5-7),1-3,(13),(15-17),(53-55),(81-85<83>),(87<89>),91,93                     |IAG,3-5DG,1-7DG,13DG,13/15WG,15DG,17-123DG,17/53WG,53-57DG,55-81DG,69-89DG,91DG,93DG,73DG,16G                     |D1,D7,D9,D21,D31,D35,S16;
21    |LCJL|XLA,S18LA    |X     |1-3,(5-7),1-3,(13),(15-17),(53-55),(81-85<83>),(87<89>),91,(93)                     |IAG,3-5DG,1-7DG,13DG,13/15WG,15DG,17-123DG,17/53WG,53-57DG,55-81DG,69-89DG,91DG,93DG,73DG,18G                     |D1,D7,D9,D21,D31,D35,S18;
22    |LCJL|XLA,S20LA    |X     |1-3,(5-7),1-3,(13),(15-17),(53-55),(81-85<83>),(87<89>),(91)                     |IAG,3-5DG,1-7DG,13DG,13/15WG,15DG,17-123DG,17/53WG,53-57DG,55-81DG,69-89DG,91DG,73DG,93DG,20G                     |D1,D7,D9,D21,D31,D35,S20;
23    |LCJL|XFLA,D61A,SIXLA    |XF     |5-7,(1-3),5-7,99-101,95-97,31,23-25,(61)                     |IIAG,1-7DG,3-5DG,9DG,19DG,95-101DG,31DG,25DG,25/61WG,61DG,IXG                     |D3,D5,D61,D63,D81,D91,D99,SIX;
24    |LCJL|XFLA,D61A,SVIILA    |XF     |5-7,(1-3),5-7,99-101,95-97,31,23-25,61                     |IIAG,1-7DG,3-5DG,9DG,19DG,95-101DG,31DG,25DG,25/61WG,61DG,VIIG                     |D3,D5,D61,D63,D81,D91,D99,SVII;
25    |LCJL|XFLA,S21LA    |XF     |5-7,(1-3),5-7,99-101,(95-97),99-101,113-115,(103-107<105>),113-115,(109<111>),117                     |IIAG,1-7DG,3-5DG,9DG,95-101DG,97-99DG,103-115DG,117DG,19DG,21G                     |D3,D5,D61,D63,D77,D79,D85,S21;
26    |LCJL|XFLA,S19LA    |XF     |5-7,(1-3),5-7,99-101,(95-97),99-101,113-115,(103-107<105>),113-115,(109<111>),(117)                     |IIAG,1-7DG,3-5DG,9DG,95-101DG,97-99DG,103-115DG,117DG,19DG,19G                     |D3,D5,D61,D63,D77,D79,D85,S19;
27    |LCJL|XFLA,S17LA    |XF     |5-7,(1-3),5-7,99-101,(95-97),99-101,113-115,(103-107<105>),113-115,109<111>                     |IIAG,1-7DG,3-5DG,9DG,95-101DG,97-99DG,103-115DG,19DG,117DG,17G                     |D3,D5,D61,D63,D77,D79,S17;
28    |LCJL|XFLA,S15LA    |XF     |5-7,(1-3),5-7,99-101,(95-97),99-101,113-115,103-107<105>,33                     |IIAG,1-7DG,3-5DG,9DG,95-101DG,97-99DG,103-115DG,33DG,19DG,15G                     |D3,D5,D61,D63,D77,D79,D83,S15;
29    |LCJL|XFLA,S13LA    |XF     |5-7,(1-3),5-7,99-101,(95-97),99-101,113-115,103-107<105>,(33)                     |IIAG,1-7DG,3-5DG,9DG,95-101DG,97-99DG,103-115DG,33DG,19DG,13G                     |D3,D5,D61,D63,D77,D79,D83,S13;
30    |LCJL|XFLA,S11LA    |XF     |5-7,(1-3),5-7,99-101,95-97,(31)                     |IIAG,1-7DG,3-5DG,9DG,95-101DG,31DG,19DG,25DG,11G                     |D3,D5,D61,D63,D81,S11;
31    |LCJL|XFLA,SIXLA    |XF     |5-7,(1-3),5-7,(19),(21),(23-25),(61)                     |IIAG,1-7DG,3-5DG,9DG,19DG,21-23DG,25DG,25/61WG,61DG,31DG,IXG                     |D3,D5,D15,D91,D99,SIX;
32    |LCJL|XFLA,SVIILA    |XF     |5-7,(1-3),5-7,(19),(21),(23-25),61                     |IIAG,1-7DG,3-5DG,9DG,19DG,21-23DG,25DG,25/61WG,61DG,31DG,VIIG                     |D3,D5,D15,D91,D99,SVII;
33    |LCJL|XFLA,S5LA    |XF     |5-7,(1-3),5-7,(19),(21),23-25                     |IIAG,1-7DG,3-5DG,9DG,19DG,21-23DG,5G                     |D3,D5,D15,S5;
34    |LCJL|XFLA,S3LA    |XF     |5-7,(1-3),5-7,(19),21                     |IIAG,1-7DG,3-5DG,9DG,19DG,21-23DG,3G                     |D3,D5,D15,S3;
35    |LCJL|XFLA,SILA    |XF     |5-7,(1-3),5-7,19                     |IIAG,1-7DG,3-5DG,9DG,19DG,19DG,IG                     |D3,D5,SI;
36    |LCJL|XFLA,SIILA    |XF     |5-7,1-3,13,49-51                     |IIAG,1-7DG,13DG,13/49WG,49DG,IIG                     |D3,D7,D11,D23,SII;
37    |LCJL|XFLA,SIVLA    |XF     |5-7,1-3,13,(49-51)                     |IIAG,1-7DG,13DG,13/49WG,49DG,51DG,71DG,IVG                     |D3,D7,D11,D23,SIV;
38    |LCJL|XFLA,S6LA    |XF     |5-7,1-3,(13),15-17,71-73,57-59                     |IIAG,1-7DG,13DG,13/15WG,15DG,73DG,59/73WG,59DG,6G                     |D3,D7,D9,D21,D33,D39,S6;
39    |LCJL|XFLA,S8LA    |XF     |5-7,1-3,(13),(15-17),53-55,57-59                     |IIAG,1-7DG,13DG,13/15WG,15DG,17-123DG,17/53WG,53-57DG,73DG,8G                     |D3,D7,D9,D21,D31,D35,S8;
40    |LCJL|XFLA,SXLA    |XF     |5-7,1-3,(13),(15-17),(53-55),81-85<83>                     |IIAG,1-7DG,13DG,13/15WG,15DG,17-123DG,17/53WG,53-57DG,55-81DG,73DG,XG                     |D3,D7,D9,D21,D31,D35,SX;
41    |LCJL|XFLA,S12LA    |XF     |5-7,1-3,(13),(15-17),(53-55),(81-85<83>),87<89>,69                     |IIAG,1-7DG,13DG,13/15WG,15DG,17-123DG,17/53WG,53-57DG,55-81DG,69-89DG,73DG,91DG,12G                     |D3,D7,D9,D21,D31,D35,S12;
42    |LCJL|XFLA,S14LA    |XF     |5-7,1-3,(13),(15-17),(53-55),(81-85<83>),87<89>,(69)                     |IIAG,1-7DG,13DG,13/15WG,15DG,17-123DG,17/53WG,53-57DG,55-81DG,69-89DG,73DG,91DG,14G                     |D3,D7,D9,D21,D31,D35,S14;
43    |LCJL|XFLA,S16LA    |XF     |5-7,1-3,(13),(15-17),(53-55),(81-85<83>),(87<89>),91,93                     |IIAG,1-7DG,13DG,13/15WG,15DG,17-123DG,17/53WG,53-57DG,55-81DG,69-89DG,91DG,93DG,73DG,16G                     |D3,D7,D9,D21,D31,D35,S16;
44    |LCJL|XFLA,S18LA    |XF     |5-7,1-3,(13),(15-17),(53-55),(81-85<83>),(87<89>),91,(93)                     |IIAG,1-7DG,13DG,13/15WG,15DG,17-123DG,17/53WG,53-57DG,55-81DG,69-89DG,91DG,93DG,73DG,18G                     |D3,D7,D9,D21,D31,D35,S18;
45    |LCJL|XFLA,S20LA    |XF     |5-7,1-3,(13),(15-17),(53-55),(81-85<83>),(87<89>),(91)                     |IIAG,1-7DG,13DG,13/15WG,15DG,17-123DG,17/53WG,53-57DG,55-81DG,69-89DG,91DG,73DG,93DG,20G                     |D3,D7,D9,D21,D31,D35,S20;
46    |LCJL|S21LA,XLA    |S21     |117,(109<111>),113-115,(103-107<105>),113-115,99-101,(95-97),99-101,(9),5-7,1-3                     |117DG,103-115DG,97-99DG,95-101DG,9DG,3-5DG,IAG,19DG,X3JG                     |D85,D79,D77,D63,D61,D5,D1,X;
47    |LCJL|S21LA,XFLA    |S21     |117,(109<111>),113-115,(103-107<105>),113-115,99-101,(95-97),99-101,(9),5-7,(1-3),5-7                     |117DG,103-115DG,97-99DG,95-101DG,9DG,3-5DG,1-7DG,IIAG,19DG,S1LQ                     |D85,D79,D77,D63,D61,D5,D3,XF;
48    |LCJL|S21LA,PLA3    |S21     |117,(109<111>),113-115,(103-107<105>),113-115,99-101,95-97,27-29                     |117DG,103-115DG,97-99DG,29DG                     |D85,D79,D77,D65,PLA3;
49    |LCJL|S19LA,XLA    |S19     |(117),(109<111>),113-115,(103-107<105>),113-115,99-101,(95-97),99-101,(9),5-7,1-3                     |117DG,105-113DG,97-99DG,95-101DG,9DG,3-5DG,IAG,19DG,X3JG                     |D85,D79,D77,D63,D61,D5,D1,X;
50    |LCJL|S19LA,XFLA    |S19     |(117),(109<111>),113-115,(103-107<105>),113-115,99-101,(95-97),99-101,(9),5-7,(1-3),5-7                     |117DG,103-115DG,97-99DG,95-101DG,9DG,3-5DG,1-7DG,IIAG,19DG,S1LQ                     |D85,D79,D77,D63,D61,D5,D3,XF;
51    |LCJL|S19LA,PLA3    |S19     |(117),(109<111>),113-115,(103-107<105>),113-115,99-101,95-97,27-29                     |117DG,103-115DG,97-99DG,29DG                     |D85,D79,D77,D65,PLA3;
52    |LCJL|S17LA,XLA    |S17     |109<111>,113-115,(103-107<105>),113-115,99-101,(95-97),99-101,(9),5-7,1-3                     |,103-115DG,97-99DG,95-101DG,9DG,3-5DG,IAG,117DG,19DG,X3JG                     |D79,D77,D63,D61,D5,D1,X;
53    |LCJL|S17LA,XFLA    |S17     |109<111>,113-115,(103-107<105>),113-115,99-101,(95-97),99-101,(9),5-7,(1-3),5-7                     |,103-115DG,97-99DG,95-101DG,9DG,3-5DG,1-7DG,IIAG,117DG,19DG,S1LQ                     |D79,D77,D63,D61,D5,D3,XF;
54    |LCJL|S17LA,PLA3    |S17     |109<111>,113-115,(103-107<105>),113-115,99-101,95-97,27-29                     |,103-115DG,97-99DG,29DG,117DG                     |D79,D77,D65,PLA3;
55    |LCJL|S15LA,XLA    |S15     |33,103-107<105>,113-115,99-101,(95-97),99-101,(9),5-7,1-3                     |33DG,103-115DG,97-99DG,95-101DG,9DG,3-5DG,IAG,19DG,X3JG                     |D83,D79,D77,D63,D61,D5,D1,X;
56    |LCJL|S15LA,XFLA    |S15     |33,103-107<105>,113-115,99-101,(95-97),99-101,(9),5-7,(1-3),5-7                     |33DG,103-115DG,97-99DG,95-101DG,9DG,3-5DG,1-7DG,IIAG,19DG,S1LQ                     |D83,D79,D77,D63,D61,D5,D3,XF;
57    |LCJL|S15LA,PLA3    |S15     |33,103-107<105>,113-115,99-101,95-97,27-29                     |33DG,103-115DG,97-99DG,29DG                     |D83,D79,D77,D65,PLA3;
58    |LCJL|S13LA,XLA    |S13     |(33),103-107<105>,113-115,99-101,(95-97),99-101,(9),5-7,1-3                     |33DG,103-115DG,97-99DG,95-101DG,9DG,3-5DG,IAG,19DG,X3JG                     |D83,D79,D77,D63,D61,D5,D1,X;
